EMEI|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , Flocos de Milho, , Banana Prata, |1-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com achocolatado, , , , Pão de Forma com geleia, |1-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Frango com cebola e salsa, Legume (salada de beterraba cozida), , Mamão|1-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Café, , , Pão bisnaguinha integral com geleia, |2-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , Flocos de Milho, , Maçã|2-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Macarrão Integral com Molho de PTS, , Verdura Crua (Salada de Alface), , Tangerina|2-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Suco de Integral de Laranja, , , Pão Hot Dog integral com frango, , |3-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com achocolatado, , Pão bisnaguinha integral com margarina, , , |3-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão carioca, Carne Bovina Cebolada, Verdura Cozida (repolho branco refogado), Salada de Frutas (Mamão, Maçã, Banana e suco de laranja Integral), |3-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com achocolatado, , , Biscoito salgado, banana nanica, |4-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Suco de Integral de Laranja, , , Pão hot dog integral com requeijão, , |4-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Filé de Peixe com legumes (batata e cenoura), , gelatina, |4-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Biscoito doce Integral, , Maçã|7-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Café, , Pão Bisnaguinha com requeijão, , |7-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão carioca, Carne Moída com Molho, Polenta cremosa, Melão|7-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Café, , Pão de Forma Integral com Queijo, , |8-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , Bolo Individual sabor fubá, , |8-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão carioca, Frango arrepiado (Cenoura e Abobrinha), , bananada individual|8-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , Bolo Individual sabor fubá, mamão, |9-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , Pão de Forma Integral com margarina, , |9-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Ovo mexido, legume cru (salada de tomate), abacaxi|9-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Pão Bisnaguinha com Margarina, , |10-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Suco de Integral de Uva, , , Pão hot dog com Queijo, |10-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Macarrão integral ao sugo, frango cebolado, verdura crua (salada de acelga), , Mamão|10-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Suco de Integral de Uva, , Pão de Hamburguer com pts, , |11-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , Biscoito Doce integral, banana prata, |11-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Peixe Lusitano (Batata+ Tomate), Melancia, |11-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com café, , Pão de Forma com Margarina, , |14-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , , Pão Bisnaguinha Integral com geleia, |14-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Ovos  à portuguesa (tomate, cebola e salsa), Legume refogado (Chuchu), Maçã|14-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , granola, , Mamão|15-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Café, , Pão Hot Dog Integral com margarina, , |15-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, File de Peixe Cremoso com Requeijão, Legume Cru (Salada de Cenoura Crua), melancia|15-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com achocolatado, , Pão Bisnaguinha Integral com Requeijão, , |16-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , , granola, Banana Nanica|16-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|, Macarrão Alho e Óleo, Carne Bovina Cozida com Molho, Verdura refogada (acelga), abacaxi|16-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Suco de Tangerina, , Pão Hot Dog Integral com sardinha, , |17-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , Biscoito Doce , , |17-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, frango com laranja, Verdura Crua (Salada de alface), Gelatina |17-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Biscoito Doce , Melão, |18-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Suco de Tangerina, , Pão de forma com requeijão, , |18-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz , Feijão Carioca, Escondidinho de batata com PTS granulada refogada, , Mamão|18-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Pão Hot Dog com Margarina, , |21-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Café, , Biscoito Salgado Integral, , melão|21-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Ovo mexido colorido(cenoura e ervilha), Melancia, |21-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Café, , Pão de Forma Integral com Queijo, , , |22-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , Bolo Individual integral sabor chocolate, , , |22-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Frango ao creme (molho branco e muçarela), Legume cru (Salada pepino e tomate), , goiabada individual|22-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , Bolo Individual integral sabor chocolate, , , banana prata|23-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , , Pão de Forma Integral com margarina, , |23-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Macarrão(Integral) ao sugo, , carne bovina cozida, Verdura crua (Salada de escarola), Salada de Frutas (Mamão, abacaxi, uva rubi, Maçã e suco de laranja Integral), |23-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Biscoito Salgado Integral, mamão, |24-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Suco de Integral de Uva, , Pão Hot dog com Queijo, , |24-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão preto, Carne suína cebolada, Virado de couve, Abacaxi|24-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Suco de Integral de Uva, , Pão de Hamburguer com carne bovina, , |25-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Achocolatado, , Pão bisnaguinha com requeijão, , |25-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Filé de Peixe ao molho, batata sautê, mamão|25-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Achocolatado, , Pão Bisnaguinha Integral com Requeijão, , |28-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com Café, , Biscoito Doce, , |28-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, ovo cozido*, Legume Cozido (aboborinha), Melão|28-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , Flocos de Milho, , maçã, |29-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com achocolatado, , , , Pão Bisnaguinha Integral com Margarina, |29-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, Lentilha, frango com cebola e salsa, Legume cru (salda de beterraba crua), , gelatina|29-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com café, , , Pão de forma com margarina, |30-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , Flocos de Milho, , banana prata|30-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Macarrão alho e óleo, , Carne bovina cozida com molho, verdrua crua (salada de acelga), melancia|30-8-2017|
EMEI|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com achocolatado, , , Biscoito doce, banana nanica|31-8-2017|
EMEI|TODAS|L5 - LANCHE 5 HORAS|Suco de Maçã, , Pão de forma com requeijão, , |31-8-2017|
EMEI|TODAS|R1 - REFEICAO 1|Arroz, feijão carioca, Peixe Lusitano (Batata+ Tomate), , mamão|31-8-2017|
EMEF|TODAS|L4 - LANCHE 4 HORAS|Iogurte, , Flocos de Milho, , Banana Prata, |1-8-2017|
EMEF|TODAS|L5 - LANCHE 5 HORAS|Leite Integral com achocolatado, , , , Pão de Forma com geleia, |1-8-2017|
EMEF|TODAS|R1 - REFEICAO 1|Arroz, Feijão Carioca, Frango com cebola e salsa, Legume (salada de beterraba cozida), , Mamão|1-8-2017|
EMEF|TODAS|L4 - LANCHE 4 HORAS|Leite Integral com Café, , , Pão bisnaguinha integral com geleia, |2-8-2017|
EMEF|TODAS|L5 - LANCHE 5 HORAS|Iogurte, , Flocos de Milho, , Maçã|2-8-2017|
EMEF|TODAS|R1 - REFEICAO 1|Macarrão Integral com Molho de PTS, , Verdura Crua (Salada de Alface), , Tangerina|2-8-2017|
EMEF|TODAS|L4 - LANCHE 4 HORAS|Suco de Integral de Laranja, , , Pão Hot Dog integral com frango, , |3-8-2017|
